subj,rel,obj
Depression,Side effect,Suicidal behavior
Depression,Side effect,Mortality
Depression,Side effect,Slower response to treatment
Pharmacotherapy,Treats,Acute phase of depression
Pharmacotherapy,Entails,SSRIs
Pharmacotherapy,Entails,Monoamine oxidase inhibitors
Pharmacotherapy,Entails,TCAs
Pharmacotherapy,Entails,Norepinephrine reuptake inhibitors
Pharmacotherapy,Entails,Ketamine
Monoamine oxidase inhibitors,Side effects,Hepatotoxicity and hypertensive crises
Monoamine oxidase inhibitors,Same efficacy as,Tricyclic antidepressants
Monoamine oxidase inhibitors,Demonstrated specific efficacy in treating,"Atypical features, such as reactive moods, reverse neuro-vegetative symptoms, and sensitivity to rejection"
Monoamine oxidase inhibitors,Eligible for,Patients who do not respond to other treatments
SSRIs,Is a part of,Pharmacotherapy
SSRIs,Treat,Acute phase of depression
SSRIs,Same efficacy as,TCAs
SSRI,Includes,"fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram"
Norepinephrine reuptake inhibitors,Eligible for,Patients who do not respond to SSRIs
Trazodone,Use,In low doses as a sedative hypnotic
Nefazodone,Is comparable to,SSRI
Nefazodone,Side effects,Rare cases of clinical idiosyncratic hepatotoxicity
Bupropion,Properties,Norepinephrine and dopamine reuptake inhibitor
Bupropion,Properties,Has a more activating profile than SSRIs that are modestly superior to bupropion in patients with MDD
Bupropion,Properties,"A better tolerability than SSRIs, with minimal weight gain"
Bupropion,Finding,Is more likely than SSRIs to improve symptoms of fatigue and sleepiness
Mianserin,Properties,"Antagonizes serotoninergic subtypes receptors, <5-HT2A> and <5-HT2C>"
Mianserin,Properties,Increases norepinephrine and dopamine release in cortical regions
Mirtazapine,Increases,Availability of serotonin or norepinephrine (or both)
Mirtazapine,As effective as,SSRIs
Ketamine,Has effects on,"Unipolar, bipolar depression"
Ketamine,Side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms"
Ketamine,Has,Active metabolite (hydroxynorketamine) that can produce rapid and sustained glutamatergic stimulation
Depression-focused psychotherapy,Second most common treatment of,Acute phase depression
Depression-focused psychotherapy,For,"Depression, psychosocial difficulties, interpersonal problems, and intra-psychic conflicts"
Depression-focused psychotherapy,For,Mild to moderate MDD
Depression-focused psychotherapy,Effect,Strengthens therapeutic alliance
Depression-focused psychotherapy,Goal,"To monitor their mood, improve their functioning, understand their symptoms better, and master the practical tools they need to cope with stressful events"
Depression-focused psychotherapy,Entails,"Cognitive-behavioral therapy (CBT), interpersonal therapy (IPT), Supportive therapy (ST) and psychoeducational intervention (PEI)"
Cognitive-behavioral therapy,For,Depressed patients’ with irrational beliefs and distorted cognitions that perpetuate depressive symptoms by challenging and reversing them
Cognitive-behavioral therapy,Use,For the first time treatment
Acceptance and commitment therapy,Is a form of,CBT
Acceptance and commitment therapy,Based on,Functional contextualism
Acceptance and commitment therapy,Use,Reduce depressive symptoms and preventing relapse
Acceptance and commitment therapy,Use,Accepting and adjusting to persistent problems
Computerized CBT,Is a form of,CBT
Computerized CBT,Treats,"Patients with reduced mobility, remoteness, confinement, or quarantine"
Schema Therapy,Is a form of,CBT
Schema Therapy,Treats,Patients with personality disorder comorbidity
Interpersonal Therapy,Goal,Identify triggers of depression episodes
