,subj,rel,obj,ref
0,Major Depressive Disorder,Definition,prevalent psychiatric disorder leading to poor quality of life and impaired functioning,"""Depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning."""
1,Pharmacotherapy,first-line treatment,Major Depressive Disorder during the acute phase,"""pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remains the most frequent option for treating depression during the acute phase."""
2,Depression-focused psychotherapy,second-line treatment,Major Depressive Disorder during the acute phase,"""depression-focused psychotherapy is the second most common option for helping patients overcome the acute phase, maintain remission, and prevent relapse."""
3,Electroconvulsive therapy,Definition,most effective somatic therapy for depression in specific situations,"""Electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations."""
4,Selective Serotonin Reuptake Inhibitors,Widely used,treat Major Depressive Disorder,"""Selective serotonin reuptake inhibitors remain the gold-standard treatment for depression."""
5,MAOIs,Less commonly used,due to side effects,"""Due to their irreversible inhibition of monoamine oxidase, MAOIs have numerous side effects...consequently, MAOIs have become less commonly used over time."""
6,MAOIs,Specific efficacy in treating,depression with atypical features,"""Furthermore, MAOIs have demonstrated specific efficacy in treating depression with atypical features."""
7,SSRIs,first-line treatment,Major Depression,"""Therefore, most guidelines currently recommend SSRIs as the first-line treatment for patients with major depression."""
8,SNRIs,Associated with,alternative for patient not responding to SSRIs,"""Clinical guidelines commonly recommend prescribing SNRI to patients who do not respond to SSRIs."""
9,All Depression,Treatment options,"pharmacotherapy, psychotherapy, combination of medication and psychotherapy, somatic therapy","""Acute-phase treatment options include pharmacotherapy, depression-focused psychotherapy, combination of medication and psychotherapy, and somatic therapy such as electroconvulsive therapy (ECT)."""
10,Cognitive-Behavioral Therapy,Definition,psychotherapeutic intervention designed for Major Depressive Disorder,"""The following subsection briefly describes psychotherapeutic interventions that have been designed specifically for patients with depression."""
11,Interpersonal Therapy,Definition,psychotherapeutic intervention designed for Major Depressive Disorder,"""The following subsection briefly describes psychotherapeutic interventions that have been designed specifically for patients with depression."""
12,ECT,Highly effective,Major Depressive Disorder,"""ECT is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported."""
13,Psychotherapy,Effective,for treating depression and improving patient’s quality of life,"""Although psychotherapy is effective for treating depression and improving patient’s quality of life, its direct action against depressive symptoms is not fully understood."""
0,Major Depressive Disorder (MDD),Definition,a prevalent psychiatric disorder leading to impaired functioning and quality of life,abstract depression be a prevalent psychiatric disorder that often lead to poor quality of life and impaired functioning.
1,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,Major Depressive Disorder during the acute phase,"pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressant, remain the most frequent option for treat depression during the acute phase"
2,Depression-focused psychotherapy,second-line treatment,Major Depressive Disorder,"depression-focus psychotherapy be the second most common option for help patient overcome the acute phase, maintain remission, and prevent relapse."
3,Electroconvulsive therapy,Highly effective,resistant form of depression,"combine medication, psychotherapy, and somatic therapy remain the most effective way to manage resistant form of depression."
4,Monoamine Oxidase Inhibitors (MAOIs),Less commonly used,Major Depressive Disorder,"due to their irreversible inhibition of monoamine oxidase, moais have numerous side effect, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage. consequently, maois have become less commonly used over time"
5,Tricyclic antidepressants (TCAs),more effective than,SSRIs in treating hospitalized patients with severe MDD symptoms,"however, some tcas can be more effective than ssris when use to treat hospitalized patients"
6,Bupropion,side effects,minimal weight gain or even leads to weight loss; more likely than some SSRIs to improve symptoms of fatigue and sleepiness,"bupropion have a well tolerability profile than ssris, with minimal weight gain (or even lead to weight loss). in addition, bupropion be more likely than some ssris to improve symptom of fatigue and sleepiness."
7,Ketamine,side effects,"dizziness, nausea, vomiting, and cardiovascular symptoms","common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms."
8,Cognitive Behavioral Therapy (CBT) and Interpersonal Therapy (IPT),first-line treatment,mild to moderate Major Depressive Disorder,depression-focus psychotherapy be typically consider the initial treatment method for mild to moderate mdd
9,Physical exercise,Benefits,improves quality of life and is recommended adjunct to other treatments for depression,exercise also promote improvement in one’s quality of life in general
10,Transcranial Direct Current Stimulation (tDCS),Less effective than,antidepressants and RTMS for depression,its effect remain low than that of antidepressants and rtms
11,Vagus Nerve Stimulation (VNS),Treats,resistant unilateral or bipolar depression,vns be a therapeutic method that have be use for the last sixteen year to treat resistant unilateral or bipolar depression
12,Deep Brain Stimulation (DBS),Treats,resistant depression by targeting specific brain areas,"accord to the literature, dbs of the subgenual cingulate white matter (brodmann area = ba 25) elicit a clinical response in 60% of resistant depression patient after six month and clinical remission in 35% of patient, with benefits maintain for over 12 mo"
0,Major Depressive Disorder,Definition,a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning,Depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning.
1,Selective Serotonin Reuptake Inhibitor antidepressants,first-line treatment,All Depression during the acute phase,"pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remain the most frequent option for treating depression during the acute phase"
2,Depression-focused psychotherapy,second-line treatment,All Depression,"depression-focused psychotherapy is the second most common option for helping patients overcome the acute phase, maintain remission, and prevent relapse"
3,Electroconvulsive therapy,Treats,resistant form of depression,electroconvulsive therapy is the most effective somatic therapy for depression in some specific situation
4,"Combination of medication, psychotherapy, and somatic therapy",Treats,resistant form of depression,"combine medication, psychotherapy, and somatic therapy remains the most effective way to manage resistant form of depression"
5,SSRIs,Associated with,fewer side effects compared to other antidepressants,"currently available SSRIs include fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram. They have elicited different tolerance rates and side effects - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headaches"
6,Ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms","common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms"
7,Physical exercise,Treats,All Depression,"most guidelines for treating depression, include the National Institute for Health and Care Excellence, the American Psychiatric Association, and the Royal Australian and New Zealand College of Psychiatrist, recommend that depressed patients perform regular physical activity to alleviate symptoms and prevent relapses"
8,CBT and IPT,first-line treatment,mild to moderate Major Depressive Disorder,"Based on significant clinical evidence, two specific psychotherapeutic methods are recommended: cognitive-behavioral therapy (CBT) and interpersonal therapy (IPT)."
0,"Mirtazapine, escitalopram, venlafaxine, sertraline",More effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","""Mirtazapine, escitalopram, venlafaxine, and sertraline be significantly more efficacious than duloxetine (odd ratio [OR] 1.39, 1.33, 1.30, and 1.27, respectively), fluoxetine (1.37, 1.32, 1.28, and 1.25, respectively), fluvoxamine (1.41, 1.35, 1.30, and 1.27, respectively), paroxetine (1.35, 1.30, 1.27, and 1.22, respectively), and reboxetine (2.03, 1.95, 1.89, and 1.85, respectively)."""
1,Reboxetine,Less effective,all the other antidepressants tested,"""Reboxetine was significantly less efficacious than all the other antidepressants tested."""
2,Escitalopram and sertraline,Associated with,"significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine","""Escitalopram and sertraline showed the best profile of acceptability, leading to significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine."""
3,Escitalopram and sertraline,Benefits,"most favorable balance between benefits, acceptability, and acquisition cost for moderate to severe major depression in adult","""Sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."""
4,Fluoxetine,Comparable to,reboxetine in treating major depressive disorder,"""Fluoxetine more efficacious than reboxetine (Table 4)."""
5,Escitalopram and sertraline,Associated with,same or higher efficacy in treating major depressive disorder compared to older SSRIs and newer antidepressants,"""Escitalopram, mirtazapine, sertraline, and venlafaxine be significantly more efficacious."""
0,Selective Serotonin Reuptake Inhibitor antidepressants,first-line treatment,All Depression,"Selective Serotonin Reuptake Inhibitor antidepressants, remain the most frequent option for treat depression during the acute phase."
1,Anxious Depression,side effects,low remission rates,"Remission rates were significantly lower in patients with anxious depression, according to both the HAM-D criterion (22.2% versus 33.4%) and the QIDS-SR criterion (27.5% versus 38.9%)."
2,Anxious Depression,side effects,low response rates,Response rates were also significantly lower for patients with anxious depression (41.7% versus 52.8%).
3,Monoamine Oxidase Inhibitors,not effective,depression in patients resistant to multiple sequential treatments with SSRIs and SNRIs,MAOIs' effectiveness is still unclear for treating depression in patients who are resistant to multiple sequential treatments with SSRIs and SNRIs.
4,Electroconvulsive therapy,highly effective,resistant form of depression,Electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations.
5,Ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, cardiovascular symptoms","Common adverse effects of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms."
6,SSRIs,side effects,"sexual and digestive issues, as well as irritability, anxiety, insomnia, and headaches","SSRIs elicit different tolerance rates and side effects - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headaches."
7,Bupropion,properties,"minimal weight gain or weight loss, improvement in symptoms of fatigue and sleepiness, more activate profile than SSRIs","Bupropion has a well tolerability profile than SSRIs, with minimal weight gain (or even lead to weight loss) and is more likely than some SSRIs to improve symptoms of fatigue and sleepiness."
8,Vortioxetine,specific efficacy in treating,depression-related cognitive impairments,"Vortioxetine, a very recent antidepressant, is thought to have specific efficacy for depression-related cognitive impairments due to its multimodal mechanism."
