,subjsummary,subj,rel,obj,objsummary,ref
0,depression,depression,definition,a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning,psychiatric disorder,"""depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning."""
1,ssris,selective serotonin reuptake inhibitor antidepressants,first-line treatment,major depression,major depression,"""pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remain the most frequent option for treating depression during the acute phase"""
2,ect,electroconvulsive therapy,highly effective,depression in some specific situations,depression,"""electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations"""
3,maois,monoamine oxidase inhibitors,specific efficacy in treating,depression with atypical features,atypical depression,"""maois have demonstrated specific efficacy in treating depression with atypical features"""
4,ssris,selective serotonin reuptake inhibitors,side effects,"sexual and digestive (nausea and loss of appetite), irritability, anxiety, insomnia, and headache",sexual and digestive side effects,"""they have elicited different tolerance rates and side effects - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache"""
5,ssris,selective serotonin reuptake inhibitors,comparable to,tricyclic antidepressants (tcas),tcas,"""in most systematic reviews and meta-analysis, ssris have demonstrated comparable efficacy to tcas"""
6,venlafaxine,venlafaxine,comparable to,tricyclic antidepressants (tcas),tcas,"""also, venlafaxine’s efficacy is comparable to that of tcas"""
7,maois,monoamine oxidase inhibitors,less commonly used,due to irreversible inhibition of monoamine oxidase and numerous side effects such as hepatotoxicity and hypertensive crisis,side effects,"""due to their irreversible inhibition of monoamine oxidase, moais have numerous side effects, such as hepatotoxicity and hypertensive crisis, that led to them becoming less commonly used over time"""
8,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depression,mdd,"""most guideline currently recommend ssris as the first-line treatment for patients with major depression"""
9,maois,monoamine oxidase inhibitors (maois),less commonly used,all depression,all depression,"""consequently, maois have become less commonly used over time"""
10,maois,monoamine oxidase inhibitors (maois),specific efficacy in treating,depression with atypical features,atypical depression,"""maois have demonstrated specific efficacy in treating depression with atypical features"""
11,ssris,selective serotonin reuptake inhibitors (ssris),associated with,sexual and digestive side effects,side effects,"""they have elicited different tolerance rates and side effects - mostly sexual and digestive"""
