,subjsummary,subj,rel,obj,objsummary,ref
0,depression,depression,definition,a common psychiatric disorder and a major contributor to the global burden of disease,psychiatric disorder,"""depression is a common psychiatric disorder and a major contributor to the global burden of disease."""
1,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depressive disorder,mdd,"""selective serotonin reuptake inhibitors (ssris) remain the gold-standard treatment for depression."""
2,maois,monoamine oxidase inhibitors (maois),more effective,depression with atypical features,atypical depression,"""maois have demonstrated specific efficacy in treating depression with atypical features."""
3,ect,electroconvulsive therapy (ect),highly effective,depression in some specific situation,depression,"""electroconvulsive therapy is the most effective somatic therapy for depression in some specific situation."""
4,tcas,tricyclic antidepressants (tcas),comparable to,monoamine oxidase inhibitors (maois) and ssris,maois & ssris,"""trials have demonstrated that maois' efficacy is comparable to that of tricyclic antidepressants (tcas)."""
5,maois,monoamine oxidase inhibitors (maois),less commonly used,over the years,usage decline,"""psychiatrists' use of maois has declined over the years."""
6,ketamine,ketamine,highly effective,treatment-resistant unipolar depression,resistant depression,"""ketamine have very quick effects on resistant unipolar depression."""
7,snris,serotonin-norepinephrine reuptake inhibitors (snris),second-line treatment,patients who do not respond to ssris,non-ssri responders,"""clinical guideline commonly recommend prescribing snri to patients who do not respond to ssris."""
8,ketamine,ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, blur vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms",adverse effects,"""common adverse effect of ketamine included dizziness, neurotoxicity, cognitive dysfunction, blur vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms."""
9,ketamine,ketamine,not effective,as a miracle drug for all depression cases,universal depression treatment,"""ketamine is not a miracle drug."""
0,maoi,monoamine oxidase inhibitor (maoi),definition,a class of antidepressant that confirms the role of monoaminergic transmission in depression,antidepressant class definition,'monoamine oxidase inhibitor (maoi) confirm the role of monoaminergic transmission in depression'
1,ssri,selective serotonin reuptake inhibitor (ssri),definition,a class of antidepressant known to improve tolerability with several minor side effects,antidepressant class definition,'selective serotonin reuptake inhibitor (ssri) improve tolerability'
2,cbt,cognitive behavioral therapy (cbt),first-line treatment,mild to moderate major depressive disorder,mdd,'cognitive behavioral therapy (cbt) is typically considered the initial treatment method for mild to moderate mdd.'
3,ipt,interpersonal therapy (ipt),first-line treatment,mild to moderate major depressive disorder,mdd,"'interpersonal therapy (ipt), like cbt, is a first-line treatment for mild to moderate major depressive episode in adults; it is also a well-established intervention for adolescent with depression.'"
4,fluoxetine,fluoxetine,side effects,"sexual dysfunction, loss of appetite, vomiting, nausea, irritability, anxiety, insomnia, and headache",multiple side effects,"'fluoxetine has several minor side effects (sexual dysfunction, loss of appetite, vomiting, nausea, irritability, anxiety, insomnia, and headache).'"
5,venlafaxine,venlafaxine,side effects,"nausea, vomiting, and sexual dysfunction",multiple side effects,"'no improvement in efficacy for venlafaxine. low tolerability (high rate of nausea, vomiting, and sexual dysfunction)'"
6,ketamine,ketamine,definition,a treatment associated with rapid effects on resistant depression and acute suicidal ideation but has short antidepressant effect and possible neurotoxicity and drug dependence,treatment definition,'ketamine rapid effect on resistant depression and acute suicidal ideation. short antidepressant effect. possible neurotoxicity and drug dependence.'
7,ketamine,ketamine,highly effective,treatment-resistant depression,depression subtype,'ketamine...rapid effect on resistant depression and acute suicidal ideation'
