,subj,rel,obj,ref
0,Major Depressive Disorder,Definition,a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning,'abstract depression be a prevalent psychiatric disorder that often lead to poor quality of life and impaired functioning'
1,Selective Serotonin Reuptake Inhibitor antidepressants,first-line treatment,Major Depressive Disorder,"'pharmacotherapy , especially selective serotonin reuptake inhibitor antidepressant , remain the most frequent option for treat depression during the acute phase'"
2,Depression-focused psychotherapy,second-line treatment,Major Depressive Disorder,'depression-focus psychotherapy be the second most common option for help patient overcome the acute phase'
3,Electroconvulsive therapy,Treats,Depression,'electroconvulsive therapy be the most effective somatic therapy for depression in some specific situation'
4,Monoamine Oxidase Inhibitors,Less commonly used,Major Depressive Disorder,"'consequently , maois have become less commonly use over time'"
5,SSRIs,More commonly used,Major Depressive Disorder,"'in most systematic review and meta - analysis , ssris have demonstrate comparable efficacy to tcas'"
6,"Combination of medication, psychotherapy, and somatic therapy",Treats,resistant form of depression,"'combine medication , psychotherapy , and somatic therapy remain the most effective way to manage resistant form of depression'"
7,Ketamine,Side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms","'common adverse effect of ketamine include dizziness , neurotoxicity , cognitive dysfunction , blurred vision , psychosis , dissociation , urological dysfunction , restlessness , headache , nausea , vomiting , and cardiovascular symptoms'"
8,Vagus Nerve Stimulation,Treats,resistant unilateral or bipolar depression,'vns be a therapeutic method that have be use for the last sixteen year to treat resistant unilateral or bipolar depression'
9,Physical exercise,Associated with,improvement in depression symptom and prevention of relapses,"'most guideline for treat depression , include the national institute for health and care excellence , the american psychiatric association , and the royal australian and new zealand college of psychiatrist , recommend that depress patient perform regular physical activity to alleviate symptom and prevent relapses'"
0,All Depression,Definition,a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning,Depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning.
1,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,All Depression,"pharmacotherapy, especially selective serotonin reuptake inhibitors antidepressants, remain the most frequent option for treating depression during the acute phase"
2,Anxious Depression,more common than,"nonanxious depression in African American group, Hispanics, Primary Care Patients, Unemployed, Married then Divorced/Widowed, Less Education, Public insurance, Lower-income","Anxious depression is more common than nonanxious depression in African American group, Hispanics, Primary Care Patients, Unemployed, Married then Divorced/Widowed, Less Education, Public insurance, Lower-income"
3,Electroconvulsive therapy (ECT),Highly effective,somatic therapy for depression in some specific situations,electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations
4,Ketamine,Properties,very quick effects on resistant unipolar depression and acute suicidal ideation,ketamine has very quick effects on resistant unipolar depression and acute suicidal ideation
5,All Depression,Associated with,high rates of suicidal behavior and mortality,Depression is also associated with high rates of suicidal behavior and mortality
6,Mirtazapine,Comparable to,SSRIs in efficacy,mirtazapine is about as effective as SSRIs
7,Depression-focused psychotherapy,second-line treatment,All Depression,"depression-focused psychotherapy is the second most common option for helping patients overcome the acute phase, maintain remission, and prevent relapse"
8,Physical exercise,Treats,All Depression,recommend that depressed patients perform regular physical activity to alleviate symptoms and prevent relapses
9,Psychoeducation,Goal,educate depressed patients and family members about depression symptoms and management,"This type of intervention educates depressed patients and, with their permission, family members involved in the patient’s life about depression symptoms and management"
0,Major Depressive Disorder,Definition,a prevalent psychiatric disorder leading to poor quality of life and impaired functioning,"https://www.wjgnet.com 9350 november 6 , 2021 volume 9 issue 31 world journal of clinical case w j c c submit a manuscript : https://www.f6publishing.com world j clin case 2021 november 6 ; 9(31 ): 9350 - 9367 doi : 10.12998 / wjcc.v9.i31.9350"
1,Selective Serotonin Reuptake Inhibitor antidepressants,first-line treatment,Major Depressive Disorder during the acute phase,"https://www.wjgnet.com 9350 november 6 , 2021 volume 9 issue 31 world journal of clinical case w j c c submit a manuscript : https://www.f6publishing.com world j clin case 2021 november 6 ; 9(31 ): 9350 - 9367 doi : 10.12998 / wjcc.v9.i31.9350"
2,Electroconvulsive therapy,Definition,the most effective somatic therapy for depression in specific situations,"https://www.wjgnet.com 9350 november 6 , 2021 volume 9 issue 31 world journal of clinical case w j c c submit a manuscript : https://www.f6publishing.com world j clin case 2021 november 6 ; 9(31 ): 9350 - 9367 doi : 10.12998 / wjcc.v9.i31.9350"
3,Resistant forms of depression,Treats,"Combination of medication, psychotherapy, and somatic therapy","https://www.wjgnet.com 9350 november 6 , 2021 volume 9 issue 31 world journal of clinical case w j c c submit a manuscript : https://www.f6publishing.com world j clin case 2021 november 6 ; 9(31 ): 9350 - 9367 doi : 10.12998 / wjcc.v9.i31.9350"
4,Ketamine,Side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms","https://www.wjgnet.com 9350 november 6 , 2021 volume 9 issue 31 world journal of clinical case w j c c submit a manuscript : https://www.f6publishing.com world j clin case 2021 november 6 ; 9(31 ): 9350 - 9367 doi : 10.12998 / wjcc.v9.i31.9350"
5,SSRIs,Side effects,"sexual dysfunction, loss of appetite, vomiting, nausea, irritability, anxiety, insomnia, and headache","https://www.wjgnet.com 9350 november 6 , 2021 volume 9 issue 31 world journal of clinical case w j c c submit a manuscript : https://www.f6publishing.com world j clin case 2021 november 6 ; 9(31 ): 9350 - 9367 doi : 10.12998 / wjcc.v9.i31.9350"
6,Cognitive Behavioral Therapy and Interpersonal Therapy,first-line treatment,Mild to moderate Major Depressive Disorder,"https://www.wjgnet.com 9350 november 6 , 2021 volume 9 issue 31 world journal of clinical case w j c c submit a manuscript : https://www.f6publishing.com world j clin case 2021 november 6 ; 9(31 ): 9350 - 9367 doi : 10.12998 / wjcc.v9.i31.9350"
0,"Mirtazapine, Escitalopram, Venlafaxine, Sertraline",More effective,"Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, Reboxetine","finding mirtazapine , escitalopram , venlafaxine , and sertraline be signiﬁ cantly more eﬃ cacious than duloxetine ( odd ratio [ or ] 1·39 , 1·33 , 1·30 and 1·27 , respectively ) , ﬂ uoxetine ( 1·37 , 1·32 , 1·28 , and 1·25 , respectively ) , ﬂ uvoxamine ( 1·41 , 1·35 , 1·30 , and 1·27 , respectively ) , paroxetine ( 1·35 , 1·30 , 1·27 , and 1·22 , respectively ) , and reboxetine ( 2·03 , 1·95 , 1·89 , and 1·85 , respectively ) ."
1,Reboxetine,Less effective,All other antidepressants,reboxetine be signiﬁ cantly less eﬃ   cacious than all the other  antidepressant test .
2,Escitalopram and Sertraline,Better acceptability,"Duloxetine, Fluvoxamine, Paroxetine, Reboxetine, Venlafaxine","escitalopram and sertraline show the good proﬁ le of acceptability , lead to signiﬁ cantly   few discontinuation than do duloxetine , ﬂ uvoxamine , paroxetine , reboxetine , and venlafaxine ."
3,Escitalopram and Sertraline,Overview,"Good balance between benefits, acceptability, and acquisition cost for moderate to severe major depression","sertraline might be the best choice when start treatment   for moderate to severe major depression in adult because it have the most favourable balance between beneﬁ ts ,   acceptability , and acquisition cost ."
4,Escitalopram and Sertraline,Highly effective,Unipolar major depression,clinically important diﬀ erence exist between commonly prescribe antidepressant for both eﬃ   cacy   and acceptability in favour of escitalopram and sertraline .
5,Escitalopram and Sertraline,first-line treatment,Moderate to severe major depression,drug choice for first-line treatment of moderate to severe major depression due to favorable balance of efficacy and acceptability
6,Compared antidepressants,Treatment options,Acute treatment of unipolar major depression,"method we include only randomise control trial that compare bupropion, citalopram, duloxetine, escitalopram, ﬂ uoxetine, ﬂ uvoxamine, milnacipran, mirtazapine, paroxetine, reboxetine, sertraline, and venlafaxine as monotherapy in the acute-phase treatment of adult   with unipolar major depression ."
0,Major Depressive Disorder,Definition,a prevalent psychiatric disorder leading to poor quality of life and impaired functioning,abstract depression be a prevalent psychiatric disorder that often lead to poor quality of life and impaired functioning.
1,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,Major Depressive Disorder,pharmacotherapy while selective serotonin reuptake inhibitor (ssris) remain the gold-standard treatment for depression
2,Monoamine Oxidase Inhibitors (MAOIs),Less commonly used,due to side effects such as hepatotoxicity and hypertensive crisis,"due to their irreversible inhibition of monoamine oxidase, moais have numerous side effect, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage."
3,Tricyclic antidepressants (TCAs),More effective than,SSRIs in hospitalized patients with severe Major Depressive Disorder symptoms,"however, some tcas can be more effective than ssris when use to treat hospitalized patients"
4,Ketamine,Treats,resistant unipolar and possibly bipolar depression,"in intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation"
5,Ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms","common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms"
6,Electroconvulsive Therapy (ECT),Highly effective,for Major Depressive Disorder,"ect be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely support"
7,Cognitive-Behavioral Therapy (CBT),first-line treatment,Mild to Moderate Major Depressive Disorder,depression-focus psychotherapy be typically consider the initial treatment method for mild to moderate mdd
8,Interpersonal Therapy (IPT),first-line treatment,Mild to Moderate Major Depressive Disorder,"ipt, like cbt, be a first-line treatment for mild to moderate major depressive episode in adult"
9,Exercise,Recommended,as adjunct to treat Major Depressive Disorder,"most guideline for treat depression, include the national institute for health and care excellence, the american psychiatric association, and the royal australian and new zealand college of psychiatrist, recommend that depressed patient perform regular physical activity to alleviate symptom and prevent relapses"
10,Phototherapy,Effective,for both seasonal and non-seasonal depression,"importantly, this treatment method be effective both for those with seasonal and non-seasonal depression"
