,subjsummary,subj,rel,obj,objsummary,ref
0,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depressive disorder (mdd),mdd,"in december 1987, a series of clinical studies confirmed that an ssri called fluoxetine was as effective as tcas for treating depression while causing fewer adverse effects. therefore, most guidelines currently recommend ssris as the first-line treatment for patients with major depression."
1,ect,electroconvulsive therapy (ect),most effective,major depressive disorder (mdd),mdd,"ect is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported."
2,maois,monoamine oxidase inhibitors (maois),less commonly used,major depressive disorder (mdd),mdd,"due to their irreversible inhibition of monoamine oxidase, maois have numerous side effects such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage. consequently, maois have become less commonly used over time."
3,cbt,cognitive behavioral therapy (cbt),first-line treatment,major depressive disorder (mdd),mdd,"based on robust evidence, cbt is one of the most well-documented and validated psychotherapeutic methods available. it has been recommended in most guidelines as a first-line treatment."
4,ketamine,ketamine,highly effective,treatment-resistant depression,trd,"intravenous sub-anesthetic doses of ketamine have a very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation. the antidepressant effect of ketamine can persist for several days but eventually wane."
5,rtms,repetitive transcranial magnetic stimulation (rtms),widely used,research on depression,depression research,"this method, which is a type of biological stimulation that affects brain metabolism and neuronal electrical activity, has been widely used in research on depression."
6,exercise,physical exercise,recommended,major depressive disorder (mdd),mdd,"most guidelines for treating depression, include the national institute for health and care excellence, the american psychiatric association, and the royal australian and new zealand college of psychiatrists, recommend that depressed patients perform regular physical activity to alleviate symptoms and prevent relapse."
7,ssris,selective serotonin reuptake inhibitors (ssris),symptom,nausea and loss of appetite,nausea & appetite loss,"currently available ssris include fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram. they have elicited different tolerance rates and side effects - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache."
0,mdd,major depressive disorder,definition,"a mental health condition characterized by persistent feelings of sadness, emptiness, or hopelessness",psychological condition,"""which compare any of the follow antidepressant at therapeutic dose range for the acute treatment of unipolar major depression in adult"""
1,mdd,major depressive disorder,associated with,"persistent feelings of sadness, emptiness, or hopelessness",symptoms,"""which compare any of the follow antidepressant at therapeutic dose range for the acute treatment of unipolar major depression in adult"""
2,antidepressants,antidepressants,definition,medication used for the treatment of major depressive disorder,medication,"""which compare any of the follow antidepressant at therapeutic dose range for the acute treatment of unipolar major depression in adult"""
