,subjsummary,subj,rel,obj,objsummary,ref
0,depression,depression,definition,a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning,psychiatric disorder,"""depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning."""
1,ssris,selective serotonin reuptake inhibitor antidepressants,first-line treatment,depression during the acute phase,acute depression,"""pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remains the most frequent option for treating depression during the acute phase."""
2,depression-focused psychotherapy,depression-focused psychotherapy,second-line treatment,depression during the acute phase,acute depression,"""depression-focused psychotherapy is the second most common option for helping patients overcome the acute phase."""
3,ect,electroconvulsive therapy,highly effective,depression in some specific situations,specific depression,"""electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations."""
4,resistant depression,resistant form of depression,treats,"combining medication, psychotherapy, and somatic therapy",combined therapies,"""combining medication, psychotherapy, and somatic therapy remains the most effective way to manage resistant forms of depression."""
5,depression treatment,treatment for depression,overview,aims to help the patient reach a remission state and eventually return to their baseline level of function,treatment goal,"""treatment during the acute phase of a major depressive episode aims to help the patient reach a remission state and eventually return to their baseline level of function."""
6,depression,depression,goal,codify and simplify treatment to enhance current practice,improvement of practice,"""depression is a persistent public health problem for which treatment must be codified and simplified to enhance current practice."""
0,maois,monoamine oxidase inhibitors,definition,"a class of antidepressant drugs defined as the first to be identified, characterized by irreversible inhibition of monoamine oxidase",antidepressant class,iproniazid was the first drug defined as an antidepressant; it was later classified as a monoamine oxidase inhibitor (maoi).
1,depression with atypical features,depression with atypical features,subset,major depressive disorder,mdd,"maois have demonstrated specific efficacy in treating depression with atypical features, such as reactive mood, reverse neurovegetative symptoms, and sensitivity to rejection."
2,maois,monoamine oxidase inhibitors,specific efficacy in treating,depression with atypical features,depression subtype,"maois have demonstrated specific efficacy in treating depression with atypical features, such as reactive mood, reverse neurovegetative symptoms, and sensitivity to rejection."
3,maois,monoamine oxidase inhibitors,side effects,hepatotoxicity and hypertensive crisis,side effects,"due to their irreversible inhibition of monoamine oxidase, maois have numerous side effects, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage."
4,maois,monoamine oxidase inhibitors,less commonly used,over time due to side effects and restrictions,usage trend,"consequently, maois have become less commonly used over time."
5,maois,monoamine oxidase inhibitors,comparable to,tricyclic antidepressants,tcas,trials have demonstrated that maois' efficacy is comparable to that of tricyclic antidepressants (tcas).
0,tcas,tricyclic antidepressants (tcas),definition,a class of antidepressants,antidepressants,"since then, tcas have remain among the most frequently prescribe drug worldwide."
1,ssris,selective serotonin reuptake inhibitors (ssris),definition,a class of antidepressants,antidepressants,"currently available ssris include fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram."
2,snris,serotonin-norepinephrine reuptake inhibitors (snris),definition,a class of antidepressants,antidepressants,"currently available snris be venlafaxine, desvenlafaxine (the principal metabolite of venlafaxine), and duloxetine."
3,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depressive disorder (mdd),mdd,"therefore, most guideline currently recommend ssris as the first-line treatment for patient with major depression."
4,snris,serotonin-norepinephrine reuptake inhibitors (snris),treatment options,patients who do not respond to ssris,resistant cases,clinical guideline commonly recommend prescribing snri to patient who do not respond to ssris.
5,ssris,selective serotonin reuptake inhibitors (ssris),side effects,"nausea and loss of appetite, as well as irritability, anxiety, insomnia, and headache",side effects,"they have elicit different tolerance rate and side effect - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache."
6,tcas,tricyclic antidepressants (tcas),comparable to,selective serotonin reuptake inhibitors (ssris) and serotonin-norepinephrine reuptake inhibitors (snris),ssris & snris,"tcas - such as amitriptyline, nortriptyline, protriptyline, imipramine, desipramine, doxepin, and trimipramine - be about as effective as other class of antidepressant - include ssris, snris."
7,tcas,tricyclic antidepressants (tcas),more effective,hospitalized patients with severe major depressive disorder (mdd) symptoms,severe mdd,this efficacy can be explain by the superiority of tcas over ssris for patient with severe major depressive disorder (mdd) symptom who require hospitalization.
8,bupropion,bupropion,benefits,minimal weight gain or even lead to weight loss,minimal weight changes,"bupropion have a well tolerability profile than ssris, with minimal weight gain (or even lead to weight loss)."
0,mirtazapine,mirtazapine,definition,"a tetracyclic compound believed to increase the availability of serotonin or norepinephrine, or both, at least initially. it has the ability to antagonize serotoninergic subtype receptors, <5-ht2a> and <5-ht2c>, which could also increase norepinephrine and dopamine release in cortical regions.",antidepressant compound,"mirtazapine and mianserin be tetracyclic compound believe to increase the availability of serotonin or norepinephrine (or both), at least initially. mirtazapine’s ability to antagonize serotoninergic subtype receptor, <5-ht2a> and <5-ht2c>, could also increase norepinephrine and dopamine release in cortical region."
1,mirtazapine,mirtazapine,comparable to,ssris,ssris,mirtazapine be about as effective as ssris.
2,vortioxetine,vortioxetine,benefits,depression-related cognitive impairment,cognitive benefits,"however, they appear to produce less sexual dysfunction and, in the specific case of vortioxetine, have particular benefit in depression-related cognitive impairment."
3,antidepressants,different class of antidepressants,results,no significant difference in terms of their efficacy,comparable efficacy,"in conclusion, no significant difference have be find between different class of antidepressant in term of their efficacy."
4,ketamine,ketamine,definition,a molecule used in sub-anesthetic doses with rapid effects on resistant unipolar (and possibly bipolar) depression and acute suicidal ideation. its antidepressant effect can persist for several days but eventually wanes.,rapid-acting antidepressant,"intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and possibly, bipolar) depression and acute suicidal ideation."
5,ketamine,ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms",adverse effects,"common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blur vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptom."
6,esketamine,esketamine,definition,an active metabolite of ketamine with 3 to 4 times greater affinity for the n-methyl-d-aspartate (nmda) receptor. approved by the united states food and drug administration in march 2019 for treatment-resistant depression.,fda-approved for trd,"research on the s-enantiomer of ketamine (s-ketamine, or esketamine, especially intranasal) could also be valuable, as it have a 3 to 4 time great affinity than ketamine for the n-methyl-d-aspartate (nmda) receptor."
0,maois,monoamine oxidase inhibitors (maois),definition,a class of antidepressants,antidepressants,confirm the role of monoaminergic transmission in depression
1,iproniazid,iproniazid,example,monoamine oxidase inhibitors (maois),maois,iproniazid 1958
2,ssris,selective serotonin reuptake inhibitors (ssris),definition,a class of antidepressants,antidepressants,improve tolerability
3,snris,serotonin-norepinephrine reuptake inhibitors (snris),definition,a class of antidepressants,antidepressants,commonly recommend for patient who do not respond to ssris
4,fluoxetine,fluoxetine,example,selective serotonin reuptake inhibitors (ssris),ssris,fluoxetine 1987
5,venlafaxine,venlafaxine,example,serotonin-norepinephrine reuptake inhibitors (snris),snris,venlafaxine 2008
6,esketamine,esketamine,definition,a treatment for treatment-resistant depression,treatment-resistant depression treatment,treatment-resistant depression. great affinity for nmda receptor than ketamine
7,sexual dysfunction,sexual dysfunction,side effects,ssris,ssris,several minor side effect (sexual dysfunction)
8,nausea,nausea,side effects,vilazodone,vilazodone,the most commonly report adverse effect be diarrhea and nausea
9,ketamine,ketamine,definition,a rapid effect on resistant depression and acute suicidal ideation,rapid treatment for resistance depression and suicide ideation,rapid effect on resistant depression and acute suicidal ideation
10,tca,tricyclic antidepressant (tca),definition,a class of antidepressants,antidepressants,clomipramine not approved
11,imipramine,imipramine,example,tricyclic antidepressant (tca),tca,imipramine 1959
12,hepatotoxicity,hepatotoxicity,side effects,iproniazid,iproniazid,hepatotoxicity and hypertensive crisis
0,psychotherapy,psychotherapy for patients with depression,overview,"strengthens the therapeutic alliance and enables the patient to monitor their mood, improve their functioning, understand their symptoms well, and master the practical tools they need to cope with stressful events",therapeutic benefits,"psychotherapy for patients with depression strengthens the therapeutic alliance and enables the patient to monitor their mood, improve their functioning, understand their symptoms well, and master the practical tools they need to cope with stressful events"
1,cbt,cognitive-behavioral therapy (cbt),first-line treatment,mild to moderate major depressive disorder,mdd,depression-focused psychotherapy is typically considered the initial treatment method for mild to moderate mdd
2,ipt,interpersonal therapy (ipt),first-line treatment,mild to moderate major depressive disorder,mdd,depression-focused psychotherapy is typically considered the initial treatment method for mild to moderate mdd
3,st,supportive therapy (st),treatment options,severe major depressive disorder as an augment to pharmacological treatment,severe mdd,"in more severe cases of depression, st and pei are used only to augment pharmacological treatment"
4,pei,psychoeducational intervention (pei),treatment options,severe major depressive disorder as an augment to pharmacological treatment,severe mdd,"in more severe cases of depression, st and pei are used only to augment pharmacological treatment"
5,cbasp,cognitive behavioral analysis system of psychotherapy (cbasp),recommended,chronic depression,chronic depression,the european psychiatric association recommends using the cognitive behavioral analysis system of psychotherapy (cbasp) for treating chronic depression
6,cbt,cognitive-behavioral therapy (cbt),highly effective,major depressive disorder,mdd,cbt is a well-known effective treatment method for mdd
7,mdd,major depressive disorder (mdd),symptom,depressive symptoms,depressive symptoms,cbt targets depressed patients' irrational beliefs and distorted cognitions that perpetuate depressive symptoms
8,depression therapies,"psychotherapy, cognitive-behavioral therapy (cbt), interpersonal therapy (ipt), supportive therapy (st), psychoeducational intervention (pei), mindfulness-based cognitive therapy (mbct)",treatment options,major depressive disorder,mdd,"overviews and recommendations for depression therapies, including cbt and ipt as first-line treatments, and options like st, pei, mbct for specific cases"
0,cbt,cognitive-behavioral therapy (cbt),definition,a form of psychotherapy that involves efforts to change thinking and behavior patterns.,psychotherapy,"""cognitive-behavioral therapy (cbt): a form of psychotherapy that involves efforts to change thinking and behavior patterns."""
1,cbt,cognitive-behavioral therapy (cbt),first-line treatment,major depressive disorder (mdd),mdd,"""guideline as a first-line treatment [79-81]."""
2,behavioral activation,behavioral activation,form of,cognitive-behavioral therapy (cbt),cbt,"""behavioral activation be one such technique, consist of integrate pleasant activity into daily life to increase the number and intensity of the positive interaction that the patient have with their environment [82,83]."""
3,act,acceptance and commitment therapy (act),form of,cognitive-behavioral therapy (cbt),cbt,"""acceptance and commitment therapy be another form of cbt."""
4,ccbt,computerized cognitive-behavioral therapy (ccbt),form of,cognitive-behavioral therapy (cbt),cbt,"""another form of cbt be computerized cbt (ccbt), implement via a computer with a cd-rom, dvd, or online ccbt."""
5,ccbt & guided bibliotherapy,ccbt and guided bibliotherapy based on cbt,treats,mild to moderate major depression,depression,"""ccbt and guide bibliotherapy base on cbt could be consider for self-motivated patient with mild to moderate major depression or as a complementary treatment to pharmacotherapy [25]""."
6,schema therapy,schema therapy,comparable to,cognitive-behavioral therapy (cbt) for treating depression,cbt,"""schema therapy be about as effective as cbt for treat depression [86]."""
7,ipt,interpersonal therapy (ipt),definition,a type of psychotherapy aimed at identifying and addressing interpersonal issues and triggers of depressive symptoms.,psychotherapy,"""ipt: the goal of ipt be to identify the trigger of depressive symptom or episode."""
8,ipt,interpersonal therapy (ipt),first-line treatment,mild to moderate major depressive episodes in adults,depression,"""ipt, like cbt, be a first-line treatment for mild to moderate major depressive episode in adult; it be also a well-established intervention for adolescent with depression [25]."""
0,pst,problem-solve therapy,definition,"the problem-solve therapy approach combines cognitive and interpersonal elements, focusing on negative assessments of situations and problem-solving strategies",therapy definition,"the problem-solve therapy (pst) approach combines cognitive and interpersonal elements, focusing on negative assessment of situations and problem-solving strategy."
1,pst,problem-solve therapy,treats,mild depressive symptoms,mild symptoms,"pst have been used in different clinical situations, like preventing depression among the elderly and treating patients with mild depressive symptoms, especially in primary care."
2,pst,problem-solve therapy,comparable to,other psychotherapeutic methods used to treat depression,other methods,"despite its small effect size, pst is comparable to other psychotherapeutic method used to treat depression."
3,mft,marital and family therapy,definition,marital and family therapy is effective in treating some aspects of depression. family therapy has also been used to treat severe forms of depression associated with medication and hospitalization.,therapy definition,marital and family therapy (mft) is effective in treating some aspects of depression. family therapy has also been used to treat severe forms of depression associated with medication and hospitalization.
4,mft,marital and family therapy,associated with,marital and family problems,problems,"marital and family problems can make people more vulnerable to depression, and mft addresses these issues."
5,mft,marital and family therapy,goal,facilitate communication and resolve different types of marital conflict,communication and conflict resolution,some of the goals of this therapy are to facilitate communication and resolve different types of marital conflict.
6,st,supportive therapy,definition,"in addition to sympathetic listening and expressing concern for the patient's problem, st requires emotionally attuned listening, empathic paraphrasing, explaining the nature of the patient's suffering, and reassuring and encouraging them.",therapy definition,"in addition to sympathetic listening and expressing concern for the patient's problem, st requires emotionally attuned listening, empathic paraphrasing, explaining the nature of the patient's suffering, and reassuring and encouraging them."
7,st,supportive therapy,treats,depression,depression,st is still commonly used to support depressed patients.
8,psychodynamic therapy,psychodynamic therapy,definition,"psychodynamic therapy encompasses a range of brief to long-term psychological interventions derived from psychoanalytic theory, focusing on intrapsychic conflicts related to shame, repressed impulses, problems in early childhood with one's emotional caretaker that lead to low self-esteem and poor emotional self-regulation.",therapy definition,"psychodynamic therapy encompasses a range of brief to long-term psychological interventions derived from psychoanalytic theory. this type of therapy focuses on intrapsychic conflicts related to shame, repressed impulses, problems in early childhood with one's emotional caretaker that lead to low self-esteem and poor emotional self-regulation."
9,psychodynamic therapy,psychodynamic therapy,highly effective,acute phase of major depressive disorder,acute phase mdd,psychodynamic therapy’s efficacy in the acute phase of mdd is well-established compared to other forms of psychotherapy.
0,psychotherapy,psychotherapy,treats,all depression,all depression,psychotherapy be effective for treat depression
1,ect,electroconvulsive therapy (ect),definition,the most well-known treatment for resistant depression,treatment for resistant depression,ect be the most well-known treatment for resistant depression
2,ect,electroconvulsive therapy (ect),highly effective,major unipolar depression,major unipolar depression,"ect be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely support"
3,rtms,repetitive transcranial magnetic stimulation (rtms),definition,a type of biological stimulation that affects brain metabolism and neuronal electrical activity,biological stimulation type,"this method, which be a type of biological stimulation that affect brain metabolism and neuronal electrical activity"
4,rtms,repetitive transcranial magnetic stimulation (rtms),more effective,placebo condition,placebo,treatment combine rtms and antidepressant be significantly more effective than placebo condition
5,tdcs,transcranial direct current stimulation (tdcs),definition,technique delivers weak current to the brain via electrodes placed on the scalp,brain stimulation technique,this technique deliver weak current to the brain via electrode place on the scalp
6,tdcs,transcranial direct current stimulation (tdcs),less effective,antidepressants and rtms,"antidepressants, rtms",its effect remain low than that of antidepressant [133] and rtms [134]
