,subjSummary,subj,rel,obj,objSummary,ref
0,SSRIs,Selective serotonin reuptake inhibitors (SSRIs),first-line treatment,Major Depressive Disorder during the acute phase,MDD acute phase,"pharmacotherapy, especially selective serotonin reuptake inhibitors antidepressant, remain the most frequent option for treating depression during the acute phase"
1,ECT,Electroconvulsive therapy (ECT),Highly effective,somatic therapy for depression in some specific situation,Depression specific situations,electroconvulsive therapy be the most effective somatic therapy for depression in some specific situation
2,MDD treatment,Treatment during the acute phase of a major depressive episode,Goal,help the patient reach a remission state and eventually return to their baseline level of functioning,Remission and returning to baseline,treatment during the acute phase of a major depressive episode aim to help the patient reach a remission state and eventually return to their baseline level of function
3,Depression,Depression,Associated with,high rate of suicidal behavior and mortality,suicidal behavior and mortality,depression be also associate with high rate of suicidal behavior and mortality
4,MAOIs,Monoamine oxidase inhibitors (MAOIs),Less commonly used,over time due to numerous side effects,Numerous side effects,"due to their irreversible inhibition of monoamine oxidase, moais have numerous side effects"
5,MAOIs,Monoamine oxidase inhibitors (MAOIs),Specific efficacy in treating,depression with atypical features,Atypical depression,maois have demonstrate specific efficacy in treating depression with atypical features
6,MAOIs,Monoamine oxidase inhibitors (MAOIs),second-line treatment,patients who have not responded to several other pharmacotherapies,Non-responders to other therapies,they be now almost exclusively prescribed for patients who have not responded to several other pharmacotherapies
0,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Definition,"the first class of antidepressants, defined by their mechanism of irreversible inhibition of the enzyme monoamine oxidase",Antidepressant class,iproniazid be the first drug define as an antidepressant; it be later classify as a monoamine oxidase inhibitor (maoi)
1,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Side effects,hepatotoxicity and hypertensive crisis that can lead to lethal intracranial hemorrhage,Adverse reactions,"due to their irreversible inhibition of monoamine oxidase, moais have numerous side effect, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage."
2,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Less commonly used,due to their complex side effects and dietary restrictions,Usage decline,"consequently, maois have become less commonly use over time"
3,MAOIs,Monoamine Oxidase Inhibitors (MAOIs),Specific efficacy in treating,depression with atypical features,Atypical depression,"maois have demonstrate specific efficacy in treat depression with atypical feature, such as reactive mood, reverse neuro-vegetative symptom, and sensitivity to rejection"
4,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,for patients with major depression,Major depression,most guideline currently recommend ssris as the first-line treatment for patient with major depression
5,SSRIs,Selective Serotonin Reuptake Inhibitors (SSRIs),Side effects,"sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache",Adverse reactions,"they have elicit different tolerance rate and side effect- mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache"
6,Ketamine,Ketamine,Side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms",Adverse reactions,"common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blur vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptom"
7,Ketamine,Ketamine,Treats,resistant unipolar and possibly bipolar depression and acute suicidal ideation,Depression & ideation,"in intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation"
8,Ketamine,Ketamine,Highly effective,for treatment-resistant depression,Treatment-resistant depression,"in intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation"
