,subjsummary,subj,rel,obj,objsummary,ref
0,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depression,mdd,"""most guideline currently recommend ssris as the first-line treatment for patient with major depression"""
1,maois,monoamine oxidase inhibitors (maois),less commonly used,over time,time,"""consequently, maois have become less commonly used over time"""
2,maois,monoamine oxidase inhibitors (maois),specific efficacy in treating,depression with atypical features,atypical depression,"""maois have demonstrated specific efficacy in treating depression with atypical features"""
3,tcas,tricyclic antidepressants (tcas),comparable to,selective serotonin reuptake inhibitors (ssris),ssris,"""tcas ... about as effective as other class of antidepressant - include ssris"""
4,ssris,selective serotonin reuptake inhibitors (ssris),side effects,"sexual and digestive issues, irritability, anxiety, insomnia, and headache",side effects,"""ssris have elicit different tolerance rate and side effect - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache"""
5,snris,serotonin-norepinephrine reuptake inhibitors (snris),second-line treatment,if ssris not effective,ssris inefficacy,"""clinical guideline commonly recommend prescribing snri to patient who do not respond to ssris"""
6,ect,electroconvulsive therapy (ect),highly effective,specific situations in depression treatment,specific depression cases,"""electroconvulsive therapy is the most effective somatic therapy for depression in some specific situation"""
0,maois,monoamine oxidase inhibitors,definition,a class of antidepressants defined as the first drug for the condition and later classified as monoamine oxidase inhibitor,antidepressant class,"""iproniazid was the first drug defined as an antidepressant; it was later classified as a monoamine oxidase inhibitor (maoi)"""
1,maois,monoamine oxidase inhibitors,side effects,"hepatotoxicity, hypertensive crisis leading to lethal intracranial hemorrhage",side effects,"""due to their irreversible inhibition of monoamine oxidase, maois have numerous side effects, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage."""
2,ssris,selective serotonin reuptake inhibitors,first-line treatment,major depressive disorder,mdd,"""most guidelines currently recommend ssris as the first-line treatment for patients with major depression."""
3,ketamine,ketamine,side effects,"dizziness, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, cardiovascular symptoms",side effects,"""common adverse effects of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms."""
4,ketamine,ketamine,definition,"a treatment for resistant unipolar and possibly bipolar depression, and acute suicidal ideation, in intravenous sub-anesthetic doses",depression treatment,"""in intravenous sub-anesthetic doses, ketamine has shown very quick effects on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation."""
5,antidepressants,all antidepressants,consistency,no significant difference in efficacy among the different classes of antidepressants,efficacy comparison,"""in conclusion, no significant difference has been found between different classes of antidepressants in terms of their efficacy."""
6,cbt,cognitive-behavioral therapy,overview,"based on robust evidence, targets depressed patient's irrational beliefs and distorted cognitions by challenging and reversing them",therapy approach,"""based on robust evidence, cbt targets depressed patients' irrational beliefs and distorted cognitions that perpetuate depressive symptoms by challenging and reversing them."""
