,subj,rel,obj,ref
0,Anxious Depression,more common than,"nonanxious depression in African American group, Hispanics, Primary Care Patients, Unemployed, Married then Divorced/Widowed, Less Education, Public insurance, Lower-income","Anxious depression --> more common than -> nonanxious depression -> in -> African American group, Hispanics, Primary Care Patients, Unemployed, Married then Divorced/Widowed, Less, Education, Public insurance, Lower-income"
1,Anxious Depression,side effects,low remission rates,"As shown in Table 2, remission rates were significantly lower in patients with anxious depression, according to both the HAM-D criterion (22.2% versus 33.4%) and the QIDS-SR criterion (27.5% versus 38.9%)."
2,Anxious Depression,side effects,low response rates,Response rates were also significantly lower for patients with anxious depression (41.7% versus 52.8%).
3,Monoamine Oxidase Inhibitors (MAOIs),Comparable to,Tricyclic antidepressants (TCAs) for treating Depression with atypical features,Trial have demonstrate that MAOIs' efficacy be comparable to that of tricyclic antidepressants (TCAs).
4,Tricyclic Antidepressants (TCAs),More effective than,Selective Serotonin Reuptake Inhibitors (SSRIs) in treating hospitalized patients with severe Major Depressive Disorder,"However, some TCAs can be more effective than SSRIs when used to treat hospitalized patients."
5,Selective Serotonin Reuptake Inhibitors (SSRIs),Recommended as,the first-line treatment for patients with Major Depression,Most guidelines currently recommend SSRIs as the first-line treatment for patients with major depression.
0,Anxious Depression,side effects,low remission rates,"As shown in Table 2, remission rates were significantly lower in patients with anxious depression, according to both the HAM-D criterion (22.2% versus 33.4%) and the QIDS-SR criterion (27.5% versus 38.9%)."
1,Anxious Depression,side effects,low response rates,Response rates were also significantly lower for patients with anxious depression (41.7% versus 52.8%).
2,Depression,Definition,a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning,Depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning.
3,Selective Serotonin Reuptake Inhibitors (SSRIs),widely used for,Depression,"Pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remain the most frequent option for treating depression during the acute phase."
4,ECT,Highly effective for,Depression,Electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations.
5,MAOIs,Specific efficacy in treating,"depression with atypical features, such as reactive moods, reverse neuro-vegetative symptoms, and sensitivity to rejection",MAOIs have demonstrated specific efficacy in treat depression with atypical features.
6,Ketamine,Highly effective for,treatment-resistant depression,"Intravenous sub-anesthetic doses of ketamine have very quick effects on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation."
7,Physical exercise,treats,Depression,Depressed patients performing regular physical activity alleviate symptoms and prevent relapses.
8,SSRIs,More commonly used,Depression,"Currently available SSRIs include fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram."
