,subj,rel,obj,ref
0,Problem-solve therapy,synonym,PST,Problem-solve therapy (PST) => Problem-solve therapy -> synonym -> PST
1,Anxious Depression,side effects,low remission rates,"As shown in Table 2, remission rates were significantly lower in patients with anxious depression, according to both the HAM-D criterion (22.2% versus 33.4%) and the QIDS-SR criterion (27.5% versus 38.9%)."
2,Anxious Depression,side effects,low response rates,Response rates were also significantly lower for patients with anxious depression (41.7% versus 52.8%).
3,MAOIs,Specific efficacy in treating,"depression with atypical features, such as reactive moods, reverse neuro-vegetative symptoms, and sensitivity to rejection","MAOIs have demonstrated specific efficacy in treating depression with atypical features, such as reactive moods, reverse neuro-vegetative symptoms, and sensitivity to rejection."
4,SSRIs,More commonly used,Major Depression,"SSRIs include fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram. They have elicited different tolerance rates and side effects."
5,Bupropion,side effects,more likely than some SSRIs to lead to minimal weight gain or even weight loss,"Bupropion have a well tolerability profile than SSRIs, with minimal weight gain (or even lead to weight loss)."
6,ECT,Highly effective for,Major Unipolar Depression,"ECT is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported."
7,RTMS,Comparable to,fictitious stimulation regarding improvement in depressive symptoms,Recent literature shows a significant difference between RTMS and fictitious stimulation regarding its improvement in depressive symptoms.
8,VNS,Usage,treatment-resistant unilateral or bipolar depression,VNS is a therapeutic method that has been used for the last sixteen years to treat resistant unilateral or bipolar depression.
9,Ketamine,Highly effective for,treatment-resistant depression,"Intravenous sub-anesthetic doses of ketamine have very quick effects on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation."
10,Selective Serotonin Reuptake Inhibitors (SSRIs),synonym,first-line treatment for major depression,most guideline currently recommend SSRIs as the first-line treatment for patients with major depression
11,Serotonin-Norepinephrine Reuptake Inhibitors (SNRIs),synonym,treatment option for patients who do not respond to SSRIs,clinical guidelines commonly recommend prescribing SNRI to patients who do not respond to SSRIs
12,Bupropion,side effects,minimal weight gain or even weight loss,"bupropion have a well tolerability profile than SSRIs, with minimal weight gain (or even lead to weight loss)"
13,Electroconvulsive Therapy (ECT),synonym,most effective somatic therapy for depression in some specific situations,electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations
14,Ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms","common adverse effects of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms"
15,Cognitive-Behavioral Therapy (CBT),synonym,well-documented and validated psychotherapeutic method for major depressive disorder,CBT is one of the most well-documented and validated psychotherapeutic methods available
16,Interpersonal Therapy (IPT),synonym,first-line treatment for mild to moderate major depressive episodes in adults,"IPT, like CBT, is a first-line treatment for mild to moderate major depressive episodes in adults"
17,Monoamine Oxidase Inhibitors (MAOIs),less commonly used,treatment for depression,"due to their irreversible inhibition of monoamine oxidase, MAOIs have numerous side effects, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage. Consequently, MAOIs have become less commonly used over time"
18,Tricyclic Antidepressants (TCAs),more effective than,SSRIs in treating hospitalized patients with severe major depressive disorder symptoms,some TCAs can be more effective than SSRIs when used to treat hospitalized patients
19,Vagus Nerve Stimulation (VNS),synonym,therapeutic method for resistant unilateral or bipolar depression,VNS is a therapeutic method that has been used for the last sixteen years to treat resistant unilateral or bipolar depression
20,Major Depressive Disorder,definition,a prevalent psychiatric disorder leading to poor quality of life and impaired functioning,Depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning.
21,Selective Serotonin Reuptake Inhibitors,synonym,SSRIs,"pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remain the most frequent option for treating depression during the acute phase"
22,Electroconvulsive Therapy,synonym,ECT,electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations
23,Cognitive-Behavioral Therapy,synonym,CBT,"depression-focused psychotherapy is the second most common option for helping patients overcome the acute phase, maintain remission, and prevent relapse"
24,Interpersonal Therapy,synonym,IPT,two specific psychotherapeutic methods are recommended: cognitive-behavioral therapy (CBT) and interpersonal therapy (IPT)
25,Problem-Solve Therapy,synonym,PST,problem-solve therapy (PST) approach combines cognitive and interpersonal elements
26,Monoamine Oxidase Inhibitors,synonym,MAOIs,iproniazid was the first drug defined as an antidepressant; it was later classified as a monoamine oxidase inhibitor (MAOI)
27,Tricyclic Antidepressants,synonym,TCAs,trial have demonstrated that MAOIs' efficacy is comparable to that of tricyclic antidepressants (TCAs)
28,Serotonin-Norepinephrine Reuptake Inhibitors,synonym,SNRIs,"currently available SNRIs are venlafaxine, desvenlafaxine (the principal metabolite of venlafaxine), and duloxetine"
29,Ketamine,synonym,a rapid-acting antidepressant,"in intravenous sub-anesthetic doses, ketamine has very quick effects on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation"
30,"Mirtazapine, Escitalopram, Venlafaxine, Sertraline",more effective than,"Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, Reboxetine for treating Major Depression","Mirtazapine, Escitalopram, Venlafaxine, and Sertraline be significantly more efficacious than Duloxetine (odd ratio [OR] 1·39, 1·33, 1·30 and 1·27, respectively), Fluoxetine (1·37, 1·32, 1·28, and 1·25, respectively), Fluvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), Paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and Reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."
31,Reboxetine,less effective than,All other antidepressants tested for treating Major Depression,Reboxetine be significantly less efficacious than all the other antidepressants tested.
32,Escitalopram and Sertraline,show,"the best profile of acceptability, leading to significantly fewer discontinuations than do Duloxetine, Fluvoxamine, Paroxetine, Reboxetine, and Venlafaxine for treating Major Depression","Escitalopram and Sertraline show the best profile of acceptability, leading to significantly fewer discontinuations than do Duloxetine, Fluvoxamine, Paroxetine, Reboxetine, and Venlafaxine."
33,Sertraline,synonym,"Good choice when starting treatment for moderate to severe Major Depression in adults due to its favorable balance between benefits, acceptability, and acquisition cost","Sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."
34,Reboxetine,not effective for,Routine first-line acute treatment for Major Depression,Reboxetine should not be used as a routine first-line acute treatment for major depression.
35,Anxious Depression,side effects,low remission rates and low response rates,"As shown in Table 2, remission rates were significantly lower in patients with anxious depression, according to both the HAM-D criterion (22.2% versus 33.4%) and the QIDS-SR criterion (27.5% versus 38.9%). Response rates were also significantly lower for patients with anxious depression (41.7% versus 52.8%)."
36,MAOIs,synonym,Monoamine Oxidase Inhibitors,Iproniazid was the first drug defined as an antidepressant; it was later classified as a Monoamine Oxidase Inhibitor (MAOI).
37,MAOIs,Specific efficacy in treating,"depression with atypical features, such as reactive moods, reverse neuro-vegetative symptoms, and sensitivity to rejection","MAOIs have demonstrated specific efficacy in treating depression with atypical features, such as reactive moods, reverse neuro-vegetative symptoms, and sensitivity to rejection."
38,ECT,Highly effective for,Major Depressive Disorder,"ECT is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported."
39,SSRIs,synonym,Selective Serotonin Reuptake Inhibitors,"In December 1987, a series of clinical studies confirmed that an SSRI called fluoxetine was as effective as TCAs for treating depression while causing fewer adverse effects."
40,SSRIs,More commonly used,Major Depressive Disorder,"Currently available SSRIs include fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram. They have elicited different tolerance rates and side effects."
